[ 2025-08-25 18:26:46,253 ] 164 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[ 2025-08-25 18:26:47,727 ] 14 root - INFO - Initiate the data ingestion
[ 2025-08-25 18:26:55,936 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-25 18:26:55,936 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-25 18:26:55,937 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-25 18:26:55,974 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-25 18:26:55,974 ] 16 root - INFO - Data initiation completed
[ 2025-08-25 18:26:55,978 ] 19 root - INFO - Initiate the data validation
[ 2025-08-25 18:26:56,065 ] 33 root - INFO - Required number of columns: 2
[ 2025-08-25 18:26:56,065 ] 34 root - INFO - Data frame has columns: 31
[ 2025-08-25 18:26:56,065 ] 33 root - INFO - Required number of columns: 2
[ 2025-08-25 18:26:56,065 ] 34 root - INFO - Data frame has columns: 31
